iter	Passed	Remaining
0	4	419
1	8	404
2	11	385
3	15	371
4	19	364
5	23	364
6	27	362
7	30	356
8	34	352
9	39	351
10	42	343
11	46	338
12	49	332
13	53	330
14	57	324
15	60	319
16	64	315
17	68	311
18	72	307
19	75	303
20	79	298
21	83	294
22	86	290
23	90	285
24	93	281
25	97	276
26	101	274
27	105	271
28	108	266
29	112	262
30	116	258
31	120	255
32	123	251
33	127	247
34	131	243
35	134	239
36	138	235
37	142	231
38	145	227
39	149	224
40	153	220
41	156	216
42	160	212
43	163	208
44	167	204
45	171	200
46	174	197
47	178	193
48	182	190
49	186	186
50	189	182
51	193	178
52	197	175
53	201	171
54	204	167
55	208	163
56	211	159
57	215	155
58	219	152
59	223	148
60	226	144
61	230	141
62	234	137
63	237	133
64	241	129
65	244	126
66	248	122
67	252	118
68	256	115
69	260	111
70	264	108
71	267	104
72	271	100
73	275	96
74	279	93
75	282	89
76	286	85
77	290	81
78	293	78
79	297	74
80	300	70
81	304	66
82	308	63
83	312	59
84	315	55
85	318	51
86	322	48
87	326	44
88	329	40
89	333	37
90	336	33
91	339	29
92	343	25
93	347	22
94	350	18
95	354	14
96	358	11
97	361	7
98	365	3
99	369	0
