Age,Gender,"On average, how many hours a day do you spend on your phone?",Do you check your screen time stats regularly?,How satisfied are you with your phone usage?,Have you ever used any app to try to reduce your screen time?,What apps do you spend the most time on? (Pick no more than 3),How often do you check you phone first thing when you wake up?,Do you usually scroll on your phone before going to bed?,Do you think your phone hurts your academic performance?,Have you ever caught yourself scrolling endlessly with no purpose?,"How much short-video content (TikTok, Reels, Shorts) do you watch?",How long can you focus on a single task (like studying or reading) before feeling the urge to check your phone?,Have you ever re-read the same paragraph or page multiple times because your mind wandered?,"What is your GPA or grade (Excellent, Very good, Good, etc.)?",Do you currently have a job? (Part-time or Full-time)
20,Male,7-9 hours,Yes,2,Yes,"Social Media (Instagram, Facebook, TikTok, etc.);Texting;Streaming and Videos (YouTube, Netflix, Shahid, etc.)",5,Yes,4,5,Some of my phone usage,10-20 minutes,"Yes, often",3.5 or Higher (Excellent),No
19,Male,7-9 hours,Yes,1,Yes,"Social Media (Instagram, Facebook, TikTok, etc.);Texting;Study or Work related (Canvas, Notion, LinkedIn, etc.);Streaming and Videos (YouTube, Netflix, Shahid, etc.)",5,Yes,3,5,Most of my phone usage,Less than 10 minutes,"Yes, often",3.5 or Higher (Excellent),No
20,Male,10+ hours,No,1,Yes,"Social Media (Instagram, Facebook, TikTok, etc.);Texting;Gaming",4,Yes,5,5,Most of my phone usage,20-40 minutes,Sometimes,2.0-2.5 (Satisfactory),No
21,Male,4-6 hours,Yes,4,Yes,"Social Media (Instagram, Facebook, TikTok, etc.);Texting;Streaming and Videos (YouTube, Netflix, Shahid, etc.)",3,Yes,4,3,Some of my phone usage,20-40 minutes,"Yes, often",2.5-3.0 (Good),Yes
21,Female,4-6 hours,Yes,2,No,"Social Media (Instagram, Facebook, TikTok, etc.);Streaming and Videos (YouTube, Netflix, Shahid, etc.)",5,Yes,4,4,Some of my phone usage,20-40 minutes,Sometimes,3.5 or Higher (Excellent),No
19,Male,7-9 hours,Yes,1,No,"Social Media (Instagram, Facebook, TikTok, etc.);Texting;Study or Work related (Canvas, Notion, LinkedIn, etc.)",5,Yes,5,2,Most of my phone usage,Less than 10 minutes,"Yes, often",3.0-3.5 (Very good),No
20,Male,7-9 hours,Yes,1,No,"Social Media (Instagram, Facebook, TikTok, etc.);Texting;Streaming and Videos (YouTube, Netflix, Shahid, etc.)",5,Yes,3,5,Some of my phone usage,Over 40 minutes,Sometimes,3.0-3.5 (Very good),No
21,Male,4-6 hours,Yes,4,Yes,"Social Media (Instagram, Facebook, TikTok, etc.);Texting;Study or Work related (Canvas, Notion, LinkedIn, etc.)",5,Yes,2,3,Some of my phone usage,20-40 minutes,Sometimes,3.5 or Higher (Excellent),Yes
17,Male,7-9 hours,No,4,No,"Social Media (Instagram, Facebook, TikTok, etc.);Streaming and Videos (YouTube, Netflix, Shahid, etc.);Gaming",5,Yes,2,4,Some of my phone usage,Over 40 minutes,Sometimes,3.5 or Higher (Excellent),No
33,Male,4-6 hours,Yes,3,No,"Study or Work related (Canvas, Notion, LinkedIn, etc.)",5,Yes,2,4,Some of my phone usage,I don't usually feel that urge,"Yes, often",3.0-3.5 (Very good),Yes
