age,gender,daily_phone_hours,check_screen_time,phone_usage_satisfaction,used_screen_time_app,check_phone_morning,scroll_before_bed,phone_affects_grades,mindless_scrolling,short_video_time,focus_before_phone_urge,reread_due_to_distraction,gpa,has_job,App_Social,App_Texting,App_Videos,App_StudyOrWork,App_Gaming,App_Shopping
0.125,1,3,1,2,1,5,1,4,5,2,1,3,4.0,0.0,1,1,1,0,0,0
0.125,1,3,1,1,1,5,1,3,5,3,0,3,4.0,0.0,1,1,1,1,0,0
0.1875,1,4,0,1,1,4,1,5,5,3,2,2,1.0,0.0,1,1,0,0,1,0
0.25,1,2,1,4,1,3,1,4,3,2,2,3,2.0,1.0,1,1,1,0,0,0
0.25,0,2,1,2,0,5,1,4,4,2,2,2,4.0,0.0,1,0,1,0,0,0
0.125,1,3,1,1,0,5,1,5,2,3,0,3,3.0,0.0,1,1,0,1,0,0
0.1875,1,3,1,1,0,5,1,3,5,2,3,2,3.0,0.0,1,1,1,0,0,0
0.25,1,2,1,4,1,5,1,2,3,2,2,2,4.0,1.0,1,1,0,1,0,0
0.0,1,3,0,4,0,5,1,2,4,2,3,2,4.0,0.0,1,0,1,0,1,0
1.0,1,2,1,3,0,5,1,2,4,2,4,3,3.0,1.0,0,0,0,1,0,0
0.375,1,2,0,3,0,3,1,4,3,2,1,3,4.0,0.0,1,1,1,1,1,1
0.125,1,2,1,1,1,5,1,4,4,3,1,3,3.0,0.0,1,1,0,0,1,0
0.1875,0,2,0,2,0,5,1,4,4,2,2,3,3.0,0.0,1,0,1,0,0,0
0.1875,1,2,1,2,0,5,1,5,5,2,2,2,4.0,0.0,1,1,1,0,0,0
0.25,1,3,0,3,0,4,1,3,2,2,1,3,0.0,0.0,1,0,0,0,0,0
0.375,0,2,1,2,1,4,1,5,5,3,2,3,3.0,0.0,1,0,1,0,0,0
0.25,1,2,1,2,0,5,1,5,5,2,0,3,4.0,0.0,1,1,1,1,0,0
0.125,1,2,0,2,1,5,1,5,5,3,4,3,3.0,1.0,1,1,1,1,0,1
0.0625,0,2,0,2,1,4,1,5,4,3,2,3,1.0,0.0,1,1,1,0,0,0
0.375,1,2,1,3,1,4,1,4,4,2,3,2,4.0,1.0,1,1,1,1,1,1
0.1875,0,3,1,3,0,5,1,4,5,2,1,2,4.0,0.0,1,0,0,0,0,0
0.3125,0,1,0,3,0,4,1,4,3,1,2,3,4.0,1.0,1,0,1,0,0,0
0.125,1,1,1,2,1,3,1,3,3,0,4,2,4.0,0.0,0,1,1,0,0,0
0.0625,1,2,0,3,0,3,1,4,3,2,4,2,3.0,1.0,0,1,1,1,0,0
0.25,1,2,1,2,0,4,1,2,4,2,2,1,4.0,0.0,1,0,1,1,0,0
0.125,0,3,1,2,1,5,1,5,5,3,0,3,1.0,0.0,1,0,0,0,0,0
0.25,1,2,0,3,0,5,1,5,3,3,2,1,4.0,0.0,1,0,0,0,0,0
0.25,1,1,0,5,1,5,1,3,4,3,2,3,2.0,0.0,1,0,0,0,0,0
0.25,1,2,0,3,0,4,1,3,4,2,1,3,4.0,0.0,1,1,0,0,0,0
0.1875,1,2,0,3,1,5,1,5,5,3,1,3,1.0,1.0,1,0,0,0,0,0
0.125,1,2,1,1,0,5,0,3,1,0,4,1,3.0,0.0,0,1,0,0,0,0
0.125,0,2,1,3,0,3,1,4,4,2,1,3,4.0,0.0,1,0,0,0,0,0
0.25,0,1,1,5,1,1,1,5,2,1,0,0,4.0,1.0,1,0,0,0,0,0
0.25,0,2,1,3,0,4,1,4,3,3,2,2,3.0,0.0,1,0,1,1,0,0
0.25,0,2,0,1,0,3,1,3,4,3,2,2,4.0,0.0,1,0,0,0,0,0
0.125,1,2,1,3,1,4,1,4,5,3,2,3,2.0,0.0,1,0,0,0,0,0
0.25,1,2,1,2,1,5,1,5,3,2,2,2,3.0,0.0,1,0,0,1,0,0
0.1875,1,1,0,3,0,4,0,2,3,0,2,2,4.0,0.0,0,1,0,1,0,0
0.1875,0,3,0,3,1,4,1,2,4,3,2,2,2.0,0.0,1,1,1,1,1,0
0.25,1,3,0,2,1,4,1,3,4,2,2,2,2.0,0.0,1,0,1,0,0,0
0.3125,1,3,1,3,0,5,1,2,2,1,2,2,2.0,0.0,1,0,1,1,0,0
0.3125,1,2,1,3,0,1,1,5,5,3,2,3,4.0,1.0,1,1,0,0,0,0
0.1875,0,3,1,4,0,5,1,5,5,3,1,3,4.0,0.0,1,1,0,1,0,0
0.25,1,2,1,2,1,4,1,1,3,1,0,3,3.0,0.0,0,0,1,1,0,0
0.25,1,1,0,1,1,4,1,5,3,3,2,1,2.0,0.0,1,0,1,0,0,0
0.1875,0,2,1,3,1,5,1,3,4,3,2,2,3.0,0.0,1,0,1,0,0,0
0.3125,0,3,1,1,1,4,1,5,3,2,3,3,4.0,0.0,1,0,0,1,0,0
0.1875,1,3,1,1,1,5,1,5,5,2,1,3,4.0,0.0,1,0,0,0,0,0
0.1875,0,2,1,1,1,5,1,5,3,1,3,3,3.0,0.0,1,1,0,0,0,1
0.25,1,1,0,3,1,5,1,3,4,3,3,3,3.0,0.0,0,1,1,1,0,1
0.4375,1,2,1,5,0,3,1,3,4,2,4,2,3.0,1.0,1,0,0,1,0,0
0.25,1,2,1,3,0,3,1,4,2,2,4,2,3.0,0.0,1,1,0,0,1,0
0.1875,0,2,1,2,1,5,1,3,5,2,1,3,4.0,0.0,1,0,0,0,0,0
0.125,1,2,1,2,1,5,1,5,5,2,4,2,4.0,0.0,1,1,1,0,0,0
0.3125,1,3,0,2,0,1,0,5,3,3,0,2,2.0,0.0,1,0,1,0,0,0
0.5,1,2,0,5,0,4,1,3,4,2,2,2,3.0,1.0,1,1,0,1,0,0
0.4375,1,2,0,3,0,5,1,2,5,2,0,2,3.0,0.0,1,1,1,0,0,0
0.0625,0,2,1,1,0,4,1,5,3,2,3,2,4.0,0.0,1,0,1,1,1,0
0.125,1,4,0,4,1,5,1,5,3,3,2,2,2.0,0.0,1,0,0,0,0,0
0.1875,0,3,1,2,0,5,1,4,4,3,1,2,4.0,0.0,1,1,0,0,0,0
0.1875,1,2,1,4,0,5,1,2,5,3,3,1,4.0,0.0,1,0,0,0,0,0
0.125,0,2,1,2,1,5,1,4,4,2,2,2,3.0,0.0,1,0,1,0,0,0
0.5625,1,2,1,2,0,5,1,2,4,2,1,2,3.0,1.0,0,1,1,0,0,0
0.1875,1,2,1,3,0,5,1,4,5,3,2,3,4.0,0.0,1,0,1,0,0,0
0.25,1,1,1,3,1,5,1,3,4,0,2,2,4.0,0.0,1,1,1,0,0,0
0.25,0,2,0,3,0,2,1,4,4,3,1,2,4.0,0.0,1,1,0,0,0,0
0.25,0,2,1,1,1,3,1,3,4,2,1,3,3.0,0.0,1,0,1,0,0,1
0.25,0,2,1,2,1,2,1,4,5,2,2,1,4.0,0.0,0,0,1,1,1,0
0.25,1,1,0,1,0,5,1,5,3,0,2,2,4.0,0.0,1,0,1,0,0,0
0.25,0,2,0,2,1,5,1,5,4,3,1,3,4.0,0.0,1,0,1,0,0,0
0.3125,1,1,0,4,1,4,1,5,4,2,3,1,4.0,1.0,1,0,0,1,0,0
0.25,1,2,0,5,0,5,1,3,2,2,2,1,3.0,0.0,1,0,0,1,0,0
0.4375,1,1,0,2,0,3,1,3,5,3,0,3,1.0,1.0,1,0,1,0,1,0
0.25,1,3,0,5,0,5,1,4,5,2,0,2,0.0,1.0,1,1,1,0,0,0
0.1875,1,3,1,1,1,5,1,4,5,3,0,3,4.0,0.0,1,1,0,0,0,0
0.25,1,2,1,3,0,2,1,3,4,1,2,3,4.0,0.0,1,0,1,1,0,0
0.125,1,3,0,2,0,5,1,5,2,3,1,3,1.0,0.0,1,0,0,0,0,0
0.1875,1,1,1,2,1,5,0,5,4,2,1,3,4.0,1.0,0,1,1,1,0,0
0.1875,1,2,0,3,1,5,1,2,5,3,3,2,4.0,0.0,1,0,1,1,0,0
0.1875,1,3,0,3,0,5,1,4,2,1,4,2,3.0,0.0,1,0,1,1,0,0
0.1875,1,3,1,2,1,4,0,4,3,2,3,2,2.0,0.0,1,0,1,0,0,0
0.125,0,2,0,2,1,4,1,4,5,3,3,2,4.0,0.0,1,0,1,0,0,0
0.3125,1,3,0,4,0,5,1,4,4,2,1,3,3.0,0.0,1,1,1,0,0,0
0.1875,1,2,1,3,0,3,1,4,1,2,2,2,2.0,1.0,1,1,0,1,0,0
0.4375,1,2,1,4,0,4,0,2,1,1,3,1,3.0,0.0,1,1,1,0,0,0
0.1875,1,2,0,3,1,4,1,5,4,3,1,2,4.0,0.0,1,0,0,0,0,0
