age,gender,daily_phone_hours,check_screen_time,phone_usage_satisfaction,used_screen_time_app,check_phone_morning,scroll_before_bed,phone_affects_grades,mindless_scrolling,short_video_time,focus_before_phone_urge,reread_due_to_distraction,gpa,has_job,App_Social,App_Texting,App_Videos,App_StudyOrWork,App_Gaming,App_Shopping
0.0879,1,2,1,1,0,4,1,2,3,3,1,2,3.0,1.0,1,1,1,0,0,1
0.1926,0,1,0,3,1,5,1,5,4,1,2,2,4.0,0.0,1,1,1,0,0,0
0.2948,1,4,0,3,1,5,1,5,4,0,2,3,2.0,0.0,1,0,0,0,0,0
0.1489,0,2,0,4,1,3,1,3,5,2,2,2,4.0,0.0,1,0,1,1,1,0
0.0,1,2,1,3,0,5,1,4,4,2,2,2,4.0,1.0,1,1,0,0,0,0
0.0641,0,3,1,1,1,4,1,3,4,2,0,1,4.0,0.0,1,1,1,0,0,0
0.0,1,2,1,2,1,5,1,3,3,3,2,1,2.0,0.0,1,1,0,0,0,0
0.0168,1,2,1,2,1,5,0,5,4,2,2,3,3.0,0.0,1,0,0,1,0,0
0.0356,1,3,1,3,0,3,1,1,5,2,2,2,3.0,0.0,1,0,0,1,0,0
0.0,1,2,0,1,1,3,1,5,5,2,0,2,3.0,0.0,0,1,0,0,0,0
0.099,1,3,1,4,1,4,1,4,5,3,1,3,3.0,0.0,1,0,1,0,0,1
0.0258,1,2,1,1,1,3,1,5,4,2,4,3,3.0,0.0,1,0,1,1,0,0
0.0,1,2,0,3,0,5,1,5,4,3,2,2,3.0,0.0,1,1,1,0,0,0
0.1728,0,3,0,2,0,4,1,5,5,2,1,2,3.0,1.0,1,1,1,1,0,0
0.0381,0,2,0,3,0,5,1,3,3,2,3,3,2.0,0.0,1,1,0,0,0,1
0.3951,1,1,1,4,0,3,1,2,4,3,1,3,4.0,0.0,1,1,0,1,0,0
0.0,1,3,1,4,1,5,1,2,5,2,3,2,4.0,0.0,1,1,0,0,0,0
0.0944,1,2,1,1,0,4,1,2,4,0,1,1,4.0,0.0,1,0,1,1,0,0
0.2389,1,3,1,3,1,3,1,4,5,2,2,2,3.0,0.0,1,1,1,0,0,0
0.0,1,3,0,3,1,5,1,2,5,2,3,2,3.0,0.0,1,1,0,0,0,0
0.1238,1,1,0,3,1,5,1,5,2,2,2,2,4.0,0.0,0,0,1,0,0,0
