daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,addicted,daily_screen_time_levels,social_media_usage_levels,night_usage_levels,work_study_hours_levels,age_categories,Addiction_Score
0.16666666666666666,0.40384615384615385,0,0.0,0.3076923076923077,0,0.7250000000000001,0.3571428571428571,0.30000000000000004,0.5555555555555556,0,Low,Low,Low,Intermediate,Gen-X(41-55),0.3424917919474686
0.5,0.40384615384615385,1,0.3333333333333333,0.5128205128205128,1,0.3500000000000001,0.3571428571428571,0.9,0.24444444444444444,1,Intermediate,Low,Low,Intermediate,Gen-Y(26-40),0.6956972524624158
0.75,0.3846153846153847,2,0.0,0.41025641025641024,3,0.32500000000000007,0.5,0.5,0.6444444444444445,1,High,Intermediate,Intermediate,Intermediate,Gen-Y(26-40),0.4708830136512875
0.5,0.5961538461538461,2,0.0,0.5641025641025641,1,0.32500000000000007,0.42857142857142855,0.8,0.3111111111111111,1,Intermediate,Intermediate,Low,Intermediate,Gen-Y(26-40),0.7606704682909972
0.41666666666666663,0.5576923076923077,3,0.16666666666666666,0.5,2,0.30000000000000004,0.2857142857142857,0.5,0.3555555555555556,1,Intermediate,Intermediate,Intermediate,Low,Gen-Y(26-40),0.5892517712113359
0.3333333333333333,0.40384615384615385,0,0.0,0.4358974358974359,1,0.675,0.42857142857142855,0.5,0.2666666666666667,0,Low,Low,Low,Intermediate,Gen-X(41-55),0.4924831518921722
0.3333333333333333,0.46153846153846156,0,0.5,0.4871794871794872,2,0.6500000000000001,0.14285714285714285,0.4,0.44444444444444453,1,Low,Low,Intermediate,Low,Gen-X(41-55),0.503024019353724
0.5833333333333333,0.5576923076923077,4,0.16666666666666666,0.4871794871794872,1,0.15000000000000002,0.5,0.5,0.5111111111111112,1,Intermediate,Intermediate,Low,Intermediate,Gen-Z(15-25),0.5823397269742527
0.41666666666666663,0.40384615384615385,3,0.5,0.7435897435897436,1,0.0,0.5,0.4,0.4222222222222223,1,Intermediate,Intermediate,Low,Intermediate,Gen-Z(15-25),0.6179367547952307
0.0,0.2692307692307693,2,0.0,0.33333333333333337,0,0.42500000000000004,0.42857142857142855,0.5,0.4,0,Low,Intermediate,Low,Intermediate,Gen-Y(26-40),0.3827544496284777
0.3333333333333333,0.11538461538461542,3,0.0,0.20512820512820518,1,0.875,0.7857142857142857,0.7000000000000001,0.4222222222222223,0,Low,Intermediate,Low,High,Gen-X(41-55),0.332296526697771
0.41666666666666663,0.40384615384615385,1,0.16666666666666666,0.41025641025641024,1,0.5,0.2857142857142857,0.4,0.4666666666666667,0,Intermediate,Low,Low,Low,Gen-Y(26-40),0.4382236046310697
0.41666666666666663,0.42307692307692313,2,0.3333333333333333,0.5384615384615384,0,0.0,0.6428571428571428,0.4,0.3555555555555556,1,Intermediate,Intermediate,Low,Intermediate,Gen-Z(15-25),0.5151200967686194
0.5833333333333333,0.6730769230769231,2,0.0,0.5512820512820513,3,0.7250000000000001,0.5,0.6000000000000001,0.4222222222222223,1,Intermediate,Intermediate,Intermediate,Intermediate,Gen-X(41-55),0.7039917055469157
0.5833333333333333,0.3653846153846154,1,0.0,0.2692307692307693,1,0.30000000000000004,0.42857142857142855,0.0,0.3555555555555556,0,Intermediate,Low,Low,Intermediate,Gen-Y(26-40),0.18489718334197344
0.5,0.4423076923076923,2,0.3333333333333333,0.7307692307692308,1,0.675,0.5714285714285714,0.30000000000000004,0.3111111111111111,1,Intermediate,Intermediate,Low,Intermediate,Gen-X(41-55),0.5861413513046484
0.41666666666666663,0.3076923076923077,1,0.0,0.5256410256410257,0,0.875,0.3571428571428571,0.6000000000000001,0.22222222222222224,0,Intermediate,Low,Low,Intermediate,Gen-X(41-55),0.5424226715050978
0.16666666666666666,0.5192307692307693,3,0.6666666666666666,0.41025641025641024,1,0.4,0.42857142857142855,0.30000000000000004,0.3111111111111111,1,Low,Intermediate,Low,Intermediate,Gen-Y(26-40),0.44444444444444453
0.3333333333333333,0.48076923076923084,1,0.3333333333333333,0.35897435897435903,1,0.4750000000000001,0.5,0.7000000000000001,0.4,0,Low,Low,Low,Intermediate,Gen-Y(26-40),0.56298600311042
0.25,0.5192307692307693,1,0.0,0.5256410256410257,2,0.275,0.42857142857142855,0.7000000000000001,0.48888888888888893,1,Low,Low,Intermediate,Intermediate,Gen-Y(26-40),0.6683946777259375
0.16666666666666666,0.3846153846153847,0,0.0,0.3846153846153846,0,0.75,0.42857142857142855,0.1,0.5111111111111112,0,Low,Low,Low,Intermediate,Gen-X(41-55),0.29531709002937634
0.5833333333333333,0.5384615384615384,1,0.3333333333333333,0.6025641025641025,1,0.3500000000000001,0.2857142857142857,0.4,0.5333333333333333,1,Intermediate,Low,Low,Low,Gen-Y(26-40),0.596336616554346
0.5,0.46153846153846156,3,0.16666666666666666,0.5128205128205128,1,0.45000000000000007,0.5714285714285714,0.7000000000000001,0.5111111111111112,1,Intermediate,Intermediate,Low,Intermediate,Gen-Y(26-40),0.638154484188699
0.41666666666666663,0.5576923076923077,4,0.16666666666666666,0.6025641025641025,2,0.45000000000000007,0.6428571428571428,0.5,0.6888888888888889,1,Intermediate,Intermediate,Intermediate,Intermediate,Gen-Y(26-40),0.6445481251080007
0.08333333333333333,0.25,0,0.0,0.34615384615384615,0,0.75,0.5714285714285714,0.1,0.2666666666666667,0,Low,Low,Low,Intermediate,Gen-X(41-55),0.2201486089510973
0.16666666666666666,0.1923076923076923,1,0.0,0.39743589743589747,1,0.30000000000000004,0.3571428571428571,0.2,0.2666666666666667,0,Low,Low,Low,Intermediate,Gen-Y(26-40),0.2649040953862105
0.3333333333333333,0.40384615384615385,3,0.0,0.5512820512820513,2,0.4750000000000001,0.42857142857142855,0.5,0.288888888888889,1,Low,Intermediate,Intermediate,Intermediate,Gen-Y(26-40),0.5546915500259203
0.41666666666666663,0.5,1,0.0,0.5256410256410257,0,0.9750000000000001,0.7857142857142857,0.30000000000000004,0.288888888888889,0,Intermediate,Low,Low,High,Gen-X(41-55),0.4988767928114741
0.6666666666666666,0.6730769230769231,2,0.0,0.7307692307692308,0,0.7,0.21428571428571427,0.6000000000000001,0.4666666666666667,1,Intermediate,Intermediate,Low,Low,Gen-X(41-55),0.8007603248660793
0.16666666666666666,0.3269230769230769,0,0.3333333333333333,0.7564102564102564,0,0.675,0.3571428571428571,0.8,0.22222222222222224,1,Low,Low,Low,Intermediate,Gen-X(41-55),0.7554864351131848
0.3333333333333333,0.3846153846153847,1,0.0,0.15384615384615385,0,0.2250000000000001,0.2857142857142857,0.7000000000000001,0.2666666666666667,0,Low,Low,Low,Low,Gen-Z(15-25),0.4135130464834976
0.3333333333333333,0.3269230769230769,1,0.5,0.35897435897435903,0,0.7750000000000001,0.5714285714285714,0.4,0.24444444444444444,0,Low,Low,Low,Intermediate,Gen-X(41-55),0.37947122861586324
0.25,0.4423076923076923,2,0.16666666666666666,0.5512820512820513,1,0.375,0.42857142857142855,0.4,0.24444444444444444,1,Low,Intermediate,Low,Intermediate,Gen-Y(26-40),0.529808190772421
0.41666666666666663,0.09615384615384615,2,0.0,0.33333333333333337,0,0.9750000000000001,0.5714285714285714,0.5,0.24444444444444444,0,Intermediate,Intermediate,Low,Intermediate,Gen-X(41-55),0.31277000172801106
0.41666666666666663,0.5192307692307693,3,0.16666666666666666,0.47435897435897434,4,0.0,0.42857142857142855,0.8,0.6000000000000001,1,Intermediate,Intermediate,Intermediate,Intermediate,Gen-Z(15-25),0.6811819595645413
0.5,0.48076923076923084,2,0.5,0.6794871794871795,2,0.10000000000000003,0.6428571428571428,0.8,0.5777777777777778,1,Intermediate,Intermediate,Intermediate,Intermediate,Gen-Z(15-25),0.7762225678244342
0.0,0.6153846153846154,0,0.3333333333333333,0.6153846153846154,0,0.3500000000000001,0.42857142857142855,0.5,0.4666666666666667,1,Low,Low,Low,Intermediate,Gen-Y(26-40),0.6747883186452395
0.16666666666666666,0.2884615384615385,0,0.0,0.3205128205128205,0,0.675,0.5714285714285714,0.6000000000000001,0.3555555555555556,0,Low,Low,Low,Intermediate,Gen-X(41-55),0.42405391394504943
0.25,0.4423076923076923,4,0.5,0.46153846153846156,2,0.45000000000000007,0.2857142857142857,0.4,0.288888888888889,1,Low,Intermediate,Intermediate,Low,Gen-Y(26-40),0.4814238811128392
0.41666666666666663,0.3076923076923077,0,0.0,0.17948717948717952,1,0.525,0.6428571428571428,0.1,0.4666666666666667,0,Intermediate,Low,Low,Intermediate,Gen-Y(26-40),0.15362018316917234
0.08333333333333333,0.2884615384615385,0,0.0,0.29487179487179493,1,0.45000000000000007,0.5714285714285714,0.1,0.3111111111111111,0,Low,Low,Low,Intermediate,Gen-Y(26-40),0.20805253153620193
0.41666666666666663,0.46153846153846156,2,0.0,0.46153846153846156,0,0.32500000000000007,0.42857142857142855,0.6000000000000001,0.44444444444444453,1,Intermediate,Intermediate,Low,Intermediate,Gen-Y(26-40),0.5700708484534301
0.16666666666666666,0.3269230769230769,1,0.16666666666666666,0.20512820512820518,1,0.25,0.42857142857142855,0.30000000000000004,0.37777777777777777,0,Low,Low,Low,Intermediate,Gen-Z(15-25),0.2560912389839296
0.5,0.42307692307692313,3,0.16666666666666666,0.3846153846153846,1,0.25,0.5,0.6000000000000001,0.4222222222222223,1,Intermediate,Intermediate,Low,Intermediate,Gen-Z(15-25),0.5130464834974945
0.41666666666666663,0.5384615384615384,3,0.16666666666666666,0.5384615384615384,2,0.0,0.42857142857142855,0.4,0.48888888888888893,1,Intermediate,Intermediate,Intermediate,Intermediate,Gen-Z(15-25),0.5617763953689304
0.5833333333333333,0.34615384615384615,2,0.0,0.28205128205128205,2,0.17500000000000004,0.7142857142857142,0.4,0.4,0,Intermediate,Intermediate,Intermediate,High,Gen-Z(15-25),0.34577501296008295
0.41666666666666663,0.34615384615384615,2,0.0,0.4871794871794872,0,0.45000000000000007,0.42857142857142855,0.0,0.4,0,Intermediate,Intermediate,Low,Intermediate,Gen-Y(26-40),0.29462588560566794
0.16666666666666666,0.6346153846153847,3,0.5,0.6923076923076923,2,0.7250000000000001,0.21428571428571427,0.6000000000000001,0.37777777777777777,1,Low,Intermediate,Intermediate,Low,Gen-X(41-55),0.7644720926213929
0.3333333333333333,0.48076923076923084,4,0.3333333333333333,0.5897435897435898,0,0.0,0.5,0.6000000000000001,0.6222222222222222,1,Low,Intermediate,Low,Intermediate,Gen-Z(15-25),0.6469673405909799
0.08333333333333333,0.3076923076923077,2,0.16666666666666666,0.3205128205128205,1,0.7750000000000001,0.6428571428571428,0.5,0.19999999999999998,0,Low,Intermediate,Low,Intermediate,Gen-X(41-55),0.3913945049248315
0.41666666666666663,0.46153846153846156,1,0.16666666666666666,0.6794871794871795,0,0.32500000000000007,0.5,0.5,0.48888888888888893,1,Intermediate,Low,Low,Intermediate,Gen-Y(26-40),0.6471401416969069
0.3333333333333333,0.6153846153846154,0,0.16666666666666666,0.5512820512820513,3,0.17500000000000004,0.3571428571428571,0.9,0.288888888888889,1,Low,Low,Intermediate,Intermediate,Gen-Z(15-25),0.8019699326075688
0.6666666666666666,0.7115384615384616,3,0.3333333333333333,0.6153846153846154,1,0.7,0.2857142857142857,0.6000000000000001,0.3111111111111111,1,Intermediate,Intermediate,Low,Low,Gen-X(41-55),0.7541040262657682
0.16666666666666666,0.25,0,0.0,0.3717948717948718,2,0.9750000000000001,0.7142857142857142,0.6000000000000001,0.33333333333333337,0,Low,Low,Intermediate,High,Gen-X(41-55),0.4361499913599448
0.16666666666666666,0.5961538461538461,1,0.16666666666666666,0.4487179487179487,1,0.125,0.5,0.5,0.4666666666666667,1,Low,Low,Low,Intermediate,Gen-Z(15-25),0.5771556937964403
0.08333333333333333,0.2884615384615385,1,0.16666666666666666,0.23076923076923073,0,0.55,0.21428571428571427,0.5,0.22222222222222224,0,Low,Low,Low,Low,Gen-Y(26-40),0.33523414549853126
0.5,0.3269230769230769,1,0.16666666666666666,0.33333333333333337,1,0.8500000000000001,0.3571428571428571,0.0,0.2666666666666667,0,Intermediate,Low,Low,Intermediate,Gen-X(41-55),0.203905304993952
0.16666666666666666,0.2692307692307693,0,0.5,0.3846153846153846,1,0.32500000000000007,0.2857142857142857,0.5,0.2666666666666667,0,Low,Low,Low,Low,Gen-Y(26-40),0.41040262657681015
0.08333333333333333,0.17307692307692307,2,0.16666666666666666,0.42307692307692313,1,0.625,0.21428571428571427,0.1,0.22222222222222224,0,Low,Intermediate,Low,Low,Gen-X(41-55),0.230516675306722
0.08333333333333333,0.4423076923076923,1,0.3333333333333333,0.35897435897435903,0,0.4,0.6428571428571428,0.4,0.37777777777777777,0,Low,Low,Low,Intermediate,Gen-Y(26-40),0.4261275272161742
0.5,0.6153846153846154,2,0.16666666666666666,0.5641025641025641,1,0.42500000000000004,0.5714285714285714,0.30000000000000004,0.288888888888889,1,Intermediate,Intermediate,Low,Intermediate,Gen-Y(26-40),0.5662692241230344
0.5833333333333333,0.576923076923077,2,0.3333333333333333,0.6923076923076923,1,0.125,0.21428571428571427,0.4,0.5333333333333333,1,Intermediate,Intermediate,Low,Low,Gen-Z(15-25),0.6602730257473649
0.41666666666666663,0.5576923076923077,3,0.0,0.5769230769230769,0,0.6500000000000001,0.42857142857142855,0.6000000000000001,0.4,1,Intermediate,Intermediate,Low,Intermediate,Gen-X(41-55),0.6711594954207707
0.3333333333333333,0.7307692307692308,3,0.16666666666666666,0.5512820512820513,0,0.625,0.21428571428571427,0.6000000000000001,0.44444444444444453,1,Low,Intermediate,Low,Low,Gen-X(41-55),0.7273198548470712
0.41666666666666663,0.5576923076923077,2,0.16666666666666666,0.3846153846153846,2,0.6000000000000001,0.5,0.30000000000000004,0.3555555555555556,1,Intermediate,Intermediate,Intermediate,Intermediate,Gen-Y(26-40),0.4461724555037153
0.5,0.2692307692307693,1,0.3333333333333333,0.39743589743589747,1,0.5,0.5714285714285714,0.4,0.37777777777777777,0,Intermediate,Low,Low,Intermediate,Gen-Y(26-40),0.37687921202695707
0.25,0.23076923076923078,1,0.16666666666666666,0.5128205128205128,2,0.8500000000000001,0.42857142857142855,0.1,0.44444444444444453,0,Low,Low,Intermediate,Intermediate,Gen-X(41-55),0.30222913426645936
0.16666666666666666,0.2884615384615385,3,0.0,0.33333333333333337,2,0.20000000000000007,0.21428571428571427,0.5,0.37777777777777777,0,Low,Intermediate,Intermediate,Low,Gen-Z(15-25),0.39053049939519613
0.25,0.25,3,0.3333333333333333,0.4871794871794872,1,0.8,0.3571428571428571,0.4,0.33333333333333337,0,Low,Intermediate,Low,Intermediate,Gen-X(41-55),0.4174874719198204
0.6666666666666666,0.48076923076923084,1,0.16666666666666666,0.4358974358974359,0,0.75,0.2857142857142857,0.7000000000000001,0.11111111111111113,1,Intermediate,Low,Low,Low,Gen-X(41-55),0.6044582685329187
0.3333333333333333,0.42307692307692313,3,0.3333333333333333,0.3717948717948718,0,0.7,0.6428571428571428,0.7000000000000001,0.288888888888889,1,Low,Intermediate,Low,Intermediate,Gen-X(41-55),0.5465698980473476
0.41666666666666663,0.25,0,0.16666666666666666,0.29487179487179493,0,0.9000000000000001,0.5,0.2,0.24444444444444444,0,Intermediate,Low,Low,Intermediate,Gen-X(41-55),0.2329358907897011
0.25,0.2884615384615385,1,0.0,0.4358974358974359,0,0.45000000000000007,0.5714285714285714,0.2,0.288888888888889,0,Low,Low,Low,Intermediate,Gen-Y(26-40),0.32452047693105235
0.6666666666666666,0.42307692307692313,1,0.16666666666666666,0.4871794871794872,0,0.7250000000000001,0.2857142857142857,0.5,0.6000000000000001,1,Intermediate,Low,Low,Low,Gen-X(41-55),0.5279073786072233
0.5,0.6153846153846154,2,0.16666666666666666,0.4487179487179487,2,0.32500000000000007,0.42857142857142855,0.4,0.2666666666666667,1,Intermediate,Intermediate,Intermediate,Intermediate,Gen-Y(26-40),0.5444962847762227
