age,gender,relationship_status,use_social_media,avg_social_time,purposeless_use_freq,distracted_by_sm,restless_without_sm,easily_distracted,worry_level,concentration_difficulty,comparison_freq,comparison_feelings,seek_validation,feel_depressed,interest_fluctuation,sleep_issues
21.0,Male,In a relationship,Yes,Between 2 and 3 hours,5,3,2,5,2,5,2,3,2,5,4,5
21.0,Female,Single,Yes,More than 5 hours,4,3,2,4,5,4,5,1,1,5,4,5
21.0,Female,Single,Yes,Between 3 and 4 hours,3,2,1,2,5,4,3,3,1,4,2,5
21.0,Female,Single,Yes,More than 5 hours,4,2,1,3,5,3,5,1,2,4,3,2
21.0,Female,Single,Yes,Between 2 and 3 hours,3,5,4,4,5,5,3,3,3,4,4,1
22.0,Female,Single,Yes,Between 2 and 3 hours,4,4,2,3,4,3,4,4,3,3,2,4
21.0,Female,Married,Yes,Between 3 and 4 hours,4,3,2,2,4,3,5,3,4,5,5,3
21.0,Female,In a relationship,Yes,More than 5 hours,5,2,3,3,3,1,1,3,1,5,5,1
21.0,Female,In a relationship,Yes,More than 5 hours,5,2,3,3,1,1,1,3,1,5,5,1
20.0,Male,Single,No,Less than an Hour,1,1,1,1,1,1,1,1,1,1,1,1
24.0,Male,Single,Yes,Between 2 and 3 hours,5,5,2,4,3,5,4,2,3,5,4,5
21.0,Female,Single,Yes,Between 3 and 4 hours,4,4,2,5,3,4,2,2,3,3,4,2
22.0,Female,Single,Yes,Between 3 and 4 hours,3,4,2,4,4,2,4,2,1,3,1,5
21.0,Female,Single,Yes,Between 3 and 4 hours,5,3,2,1,4,4,2,3,2,3,3,3
22.0,Male,Single,Yes,More than 5 hours,5,5,5,5,5,5,5,5,5,5,5,5
23.0,Male,In a relationship,Yes,Between 1 and 2 hours,3,4,2,3,4,4,3,2,2,3,4,2
21.0,Male,Single,Yes,Less than an Hour,2,2,1,2,4,2,1,3,1,4,1,3
25.0,Male,Single,Yes,Between 4 and 5 hours,5,5,4,4,3,3,1,4,2,2,2,2
28.0,Male,Single,Yes,Between 1 and 2 hours,3,4,2,4,5,5,2,3,1,3,3,1
22.0,Male,In a relationship,Yes,Between 2 and 3 hours,4,2,2,3,3,2,2,2,1,2,3,2
23.0,Male,Single,Yes,More than 5 hours,3,2,4,2,4,2,5,2,1,3,3,1
26.0,Female,Single,Yes,Between 3 and 4 hours,3,4,3,3,4,4,4,3,3,4,4,4
23.0,Female,Married,Yes,Between 1 and 2 hours,3,2,2,4,4,3,3,2,3,4,4,1
23.0,Male,Single,Yes,Between 3 and 4 hours,3,3,5,5,5,5,4,1,3,3,5,5
20.0,Male,Single,Yes,Between 3 and 4 hours,4,4,3,3,3,4,2,3,3,4,3,4
22.0,Female,In a relationship,Yes,Between 4 and 5 hours,3,4,3,4,5,4,4,3,2,4,4,1
21.0,Female,Single,Yes,Between 3 and 4 hours,4,4,5,5,5,4,4,4,3,5,4,1
22.0,Female,In a relationship,Yes,Between 3 and 4 hours,4,4,3,3,5,4,5,2,3,5,4,3
24.0,Male,Single,Yes,Between 2 and 3 hours,3,3,3,3,3,4,2,3,3,2,3,3
18.0,Female,Single,Yes,Between 2 and 3 hours,4,3,3,3,4,3,3,2,4,3,3,2
19.0,Female,Single,Yes,Between 3 and 4 hours,5,5,5,5,5,5,2,3,1,5,4,4
21.0,Male,Single,Yes,Between 3 and 4 hours,5,3,4,3,2,3,5,3,4,3,3,1
